2024-08-01 13:01:39,501 - root - INFO - Epoch 40; loss: 10.211885452270508; CER: 0.7374826669692993; WER: 1.0; val_loss: 10.222018241882324; val_CER: 0.7333333492279053; val_WER: 1.0
2024-08-01 13:01:48,928 - root - INFO - Epoch 41; loss: 9.799763679504395; CER: 0.708713710308075; WER: 1.0; val_loss: 10.225666999816895; val_CER: 0.7061728835105896; val_WER: 1.0
2024-08-01 13:01:57,623 - root - INFO - Epoch 42; loss: 9.470197677612305; CER: 0.6793914437294006; WER: 0.9986168742179871; val_loss: 11.219566345214844; val_CER: 0.713580310344696; val_WER: 1.0
2024-08-01 13:02:06,986 - root - INFO - Epoch 43; loss: 9.208979606628418; CER: 0.675242006778717; WER: 0.9972337484359741; val_loss: 11.666963577270508; val_CER: 0.7111110687255859; val_WER: 1.0
2024-08-01 13:02:13,806 - root - INFO - Epoch 44; loss: 8.903707504272461; CER: 0.652282178401947; WER: 0.9972337484359741; val_loss: 20.576623916625977; val_CER: 0.8617284297943115; val_WER: 1.0
2024-08-01 13:02:19,979 - root - INFO - Epoch 45; loss: 8.611973762512207; CER: 0.6558783650398254; WER: 0.9958506226539612; val_loss: 24.83454704284668; val_CER: 0.9012345671653748; val_WER: 1.0
2024-08-01 13:02:27,330 - root - INFO - Epoch 46; loss: 8.299250602722168; CER: 0.6243429780006409; WER: 0.9930843710899353; val_loss: 24.282468795776367; val_CER: 0.9012345671653748; val_WER: 1.0
2024-08-01 13:02:35,349 - root - INFO - Epoch 47; loss: 8.091414451599121; CER: 0.6138312816619873; WER: 0.9944674968719482; val_loss: 18.51240348815918; val_CER: 0.8666667342185974; val_WER: 1.0
2024-08-01 13:02:44,221 - root - INFO - Epoch 48; loss: 8.042221069335938; CER: 0.5997233986854553; WER: 0.9889349937438965; val_loss: 25.752460479736328; val_CER: 0.8716049194335938; val_WER: 1.0
2024-08-01 13:02:50,375 - root - INFO - Epoch 49; loss: 7.646376132965088; CER: 0.5731673836708069; WER: 0.9861687421798706; val_loss: 27.625564575195312; val_CER: 0.8962962627410889; val_WER: 1.0
2024-08-01 13:02:58,965 - root - INFO - Epoch 50; loss: 7.628434658050537; CER: 0.5892115831375122; WER: 0.9847856163978577; val_loss: 26.308765411376953; val_CER: 0.8864197731018066; val_WER: 1.0
2024-08-01 13:03:07,493 - root - INFO - Epoch 51; loss: 7.626435279846191; CER: 0.585338830947876; WER: 0.9847856163978577; val_loss: 29.97633934020996; val_CER: 0.891357958316803; val_WER: 1.0
2024-08-01 13:03:16,182 - root - INFO - Epoch 52; loss: 7.34567928314209; CER: 0.5521438121795654; WER: 0.9806362390518188; val_loss: 28.11625862121582; val_CER: 0.8888888955116272; val_WER: 1.0
2024-08-01 13:03:24,591 - root - INFO - Epoch 53; loss: 7.02562141418457; CER: 0.5305671095848083; WER: 0.97648686170578; val_loss: 32.57012176513672; val_CER: 0.9037036895751953; val_WER: 1.0
2024-08-01 13:03:33,488 - root - INFO - Epoch 54; loss: 6.999948978424072; CER: 0.5372061133384705; WER: 0.977869987487793; val_loss: 32.50503158569336; val_CER: 0.891357958316803; val_WER: 1.0
2024-08-01 13:03:41,884 - root - INFO - Epoch 55; loss: 6.910578727722168; CER: 0.5311203598976135; WER: 0.9751037359237671; val_loss: 30.126041412353516; val_CER: 0.8765432238578796; val_WER: 1.0
2024-08-01 13:03:50,209 - root - INFO - Epoch 56; loss: 6.621270656585693; CER: 0.5062240958213806; WER: 0.9668049812316895; val_loss: 31.049728393554688; val_CER: 0.8716049194335938; val_WER: 1.0
2024-08-01 13:03:58,464 - root - INFO - Epoch 57; loss: 6.505997180938721; CER: 0.49709537625312805; WER: 0.9626556038856506; val_loss: 29.44508171081543; val_CER: 0.8691357970237732; val_WER: 1.0
2024-08-01 13:04:06,822 - root - INFO - Epoch 58; loss: 6.499145984649658; CER: 0.5004149079322815; WER: 0.9806362390518188; val_loss: 28.284976959228516; val_CER: 0.8790122866630554; val_WER: 1.0
2024-08-01 13:04:14,956 - root - INFO - Epoch 59; loss: 6.351428985595703; CER: 0.48686033487319946; WER: 0.9640387296676636; val_loss: 28.576684951782227; val_CER: 0.8864197731018066; val_WER: 1.0
2024-08-01 13:04:23,282 - root - INFO - Epoch 60; loss: 6.170536518096924; CER: 0.4780082702636719; WER: 0.9529737234115601; val_loss: 26.838722229003906; val_CER: 0.8716050386428833; val_WER: 1.0
2024-08-01 13:04:31,622 - root - INFO - Epoch 61; loss: 6.146150588989258; CER: 0.46749651432037354; WER: 0.9488243460655212; val_loss: 26.314435958862305; val_CER: 0.8740741014480591; val_WER: 1.0
2024-08-01 13:04:39,960 - root - INFO - Epoch 62; loss: 5.9705023765563965; CER: 0.4434301555156708; WER: 0.932226836681366; val_loss: 23.08160400390625; val_CER: 0.8617284297943115; val_WER: 1.0
2024-08-01 13:04:48,214 - root - INFO - Epoch 63; loss: 5.680252552032471; CER: 0.43568459153175354; WER: 0.9529737234115601; val_loss: 20.23896598815918; val_CER: 0.8444444537162781; val_WER: 1.0
2024-08-01 13:04:56,524 - root - INFO - Epoch 64; loss: 5.609542369842529; CER: 0.41632091999053955; WER: 0.9114799499511719; val_loss: 23.548444747924805; val_CER: 0.8444444537162781; val_WER: 1.0
2024-08-01 13:05:04,853 - root - INFO - Epoch 65; loss: 5.43191385269165; CER: 0.396957129240036; WER: 0.9170124530792236; val_loss: 22.278396606445312; val_CER: 0.8222222328186035; val_WER: 1.0
2024-08-01 13:05:13,367 - root - INFO - Epoch 66; loss: 5.249047756195068; CER: 0.3814661502838135; WER: 0.9017980694770813; val_loss: 23.66071128845215; val_CER: 0.8395061492919922; val_WER: 1.0
2024-08-01 13:05:21,643 - root - INFO - Epoch 67; loss: 5.025984764099121; CER: 0.36569851636886597; WER: 0.8893499374389648; val_loss: 21.855499267578125; val_CER: 0.8148148059844971; val_WER: 1.0
2024-08-01 13:05:30,036 - root - INFO - Epoch 68; loss: 4.778343677520752; CER: 0.34854772686958313; WER: 0.8520055413246155; val_loss: 21.140399932861328; val_CER: 0.7827160358428955; val_WER: 1.0
2024-08-01 13:05:38,925 - root - INFO - Epoch 69; loss: 4.7818732261657715; CER: 0.34107881784439087; WER: 0.8520055413246155; val_loss: 20.52193260192871; val_CER: 0.7580246925354004; val_WER: 1.0
2024-08-01 13:05:47,647 - root - INFO - Epoch 70; loss: 4.762092590332031; CER: 0.33388659358024597; WER: 0.8492392897605896; val_loss: 21.135059356689453; val_CER: 0.7654321193695068; val_WER: 1.0
